Município-Piauí;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
PI-COCAL DOS ALVES;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-COIVARAS;0;9;0;0;6;2;11;11;17;25;23;19;0;0;0;0;0;0;0;0;0
PI-COLONIA DO GURGUEIA;11;0;0;3;5;3;3;4;4;10;12;12;11;11;7;8;5;6;0;5;4
PI-CONCEICAO DO CANINDE;2;2;2;2;2;2;2;2;2;2;1;2;2;3;3;3;3;3;3;3;3
PI-CORONEL JOSE DIAS;105;73;53;56;54;51;13;58;51;52;52;63;62;68;52;61;33;30;8;7;12
PI-CORRENTE;209;153;136;85;109;120;102;108;98;81;112;103;68;40;88;91;109;118;91;95;78
PI-CRISTALANDIA DO PIAUI;20;3;3;2;3;3;3;3;6;3;9;3;15;3;8;8;8;8;2;2;2
PI-CRISTINO CASTRO;19;16;11;15;10;11;11;10;6;7;8;12;15;12;14;9;6;4;4;7;6
PI-CURIMATA;6;16;5;6;16;12;20;21;24;24;46;31;32;34;58;22;25;26;15;14;5
PI-CURRAIS;17;18;5;12;11;0;0;15;0;0;24;19;0;0;0;0;4;4;4;11;0
PI-CURRALINHOS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-CURRAL NOVO DO PIAUI;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-DEMERVAL LOBAO;303;266;243;197;210;205;204;223;205;187;149;55;127;12;3;4;3;3;4;5;6
PI-DIRCEU ARCOVERDE;2;0;1;0;0;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1
PI-DOM EXPEDITO LOPES;41;38;31;28;27;26;27;25;29;28;26;27;5;33;34;31;34;32;38;5;18
PI-DOMINGOS MOURAO;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
PI-DOM INOCENCIO;16;35;20;9;8;5;6;2;1;1;1;1;4;0;6;0;0;8;7;6;0
PI-ELESBAO VELOSO;11;13;13;16;17;20;22;21;16;17;21;18;16;12;14;12;13;5;4;5;4
PI-ELISEU MARTINS;16;2;4;4;5;5;6;5;5;6;8;9;9;9;11;11;11;8;5;5;6
PI-ESPERANTINA;158;167;130;155;127;108;115;122;106;76;102;96;86;128;113;103;110;130;94;99;94
PI-FLORES DO PIAUI;8;1;2;2;2;3;3;3;3;3;0;1;1;1;2;2;3;3;3;3;3
PI-FLORIANO;888;839;835;1071;973;948;954;969;1011;972;815;802;688;672;731;634;735;584;456;396;409
PI-FRANCINOPOLIS;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3
PI-FRANCISCO AYRES;3;3;3;3;3;4;5;6;6;4;3;3;3;3;3;3;3;3;3;3;3
PI-FRANCISCO SANTOS;1;1;1;1;2;2;2;1;2;2;2;2;3;3;3;3;3;3;2;2;2
PI-FRONTEIRAS;63;82;84;62;97;97;547;559;625;632;587;583;566;560;576;572;511;527;541;538;490
PI-GEMINIANO;18;14;14;15;15;18;21;23;19;17;20;15;19;6;11;2;8;3;4;1;8
PI-GILBUES;16;12;26;5;1;1;2;2;2;2;2;2;2;2;2;3;3;2;2;3;3
PI-GUADALUPE;72;47;47;46;53;45;51;71;61;55;80;80;73;73;79;84;93;83;90;119;89
PI-GUARIBAS;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-HUGO NAPOLEAO;3;7;8;6;8;7;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4
PI-ILHA GRANDE;25;77;62;59;13;37;27;10;1;1;1;0;1;2;0;4;0;0;0;0;0
PI-INHUMA;42;38;32;34;29;6;6;9;8;6;4;6;8;5;6;5;7;5;5;4;14
PI-IPIRANGA DO PIAUI;33;31;32;35;33;32;45;38;44;33;31;30;29;2;2;15;28;27;27;29;28
PI-ISAIAS COELHO;5;1;1;7;1;1;2;2;2;2;2;6;6;5;5;2;4;2;2;2;2
PI-ITAINOPOLIS;9;7;7;8;7;7;7;6;7;8;5;4;4;4;4;2;3;3;3;3;3
PI-ITAUEIRA;4;1;0;0;22;26;41;49;47;39;39;4;2;2;2;2;3;3;2;3;5
PI-JACOBINA DO PIAUI;41;44;43;47;37;35;32;36;38;34;32;12;4;0;0;0;0;0;0;0;0
PI-JAICOS;27;28;21;13;13;14;14;12;13;12;8;24;22;60;75;56;37;10;28;26;16
PI-JARDIM DO MULATO;1;2;2;2;3;3;3;2;2;2;2;2;2;3;3;3;3;3;7;6;6
PI-JATOBA DO PIAUI;11;46;44;46;53;57;56;59;68;65;60;57;64;2;1;0;0;0;4;5;5
PI-JERUMENHA;64;63;60;67;3;42;67;105;122;91;79;71;62;43;22;146;0;0;0;0;0
PI-JOAO COSTA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-JOAQUIM PIRES;42;42;30;27;23;29;32;25;17;17;13;13;3;3;3;3;3;3;3;3;3
PI-JOSE DE FREITAS;145;125;110;76;92;57;122;153;174;185;159;131;160;181;155;102;149;112;132;123;120
PI-JUAZEIRO DO PIAUI;41;46;44;43;50;53;50;55;53;63;56;34;21;28;54;66;34;26;25;10;3
PI-JULIO BORGES;78;46;36;23;19;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-JUREMA;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-LAGOINHA DO PIAUI;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-LAGOA ALEGRE;0;0;0;1;1;0;0;0;1;0;0;0;10;0;0;0;0;0;0;0;0
PI-LAGOA DO BARRO DO PIAUI;349;93;480;454;382;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
PI-LAGOA DE SAO FRANCISCO;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PI-LAGOA DO PIAUI;123;151;151;73;183;154;183;161;61;69;64;119;58;27;23;32;23;528;392;322;301
PI-LAGOA DO SITIO;0;0;0;0;2;1;6;5;5;3;4;5;1;0;0;0;0;0;0;0;0
PI-LANDRI SALES;5;7;3;3;3;3;3;3;3;3;3;4;3;3;3;5;3;3;3;3;3
PI-LUIS CORREIA;49;48;31;24;48;42;41;45;55;52;33;40;37;47;42;48;66;54;45;134;1064
PI-LUZILANDIA;33;25;66;69;71;67;79;86;85;69;17;49;55;40;34;10;13;13;9;9;8
PI-MANOEL EMIDIO;8;2;4;5;7;10;2;16;3;2;2;2;2;2;2;2;2;2;2;2;2
PI-MARCOLANDIA;40;10;8;5;1;8;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0
PI-MARCOS PARENTE;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3
PI-MATIAS OLIMPIO;12;12;10;12;15;20;25;22;15;12;7;5;2;2;2;3;3;3;3;3;3
PI-MIGUEL ALVES;57;50;58;57;60;62;67;69;72;68;70;64;66;60;65;58;62;190;60;62;55
PI-MIGUEL LEAO;17;22;26;25;30;16;4;0;0;10;14;17;4;23;9;5;6;6;6;5;5
PI-MONSENHOR GIL;49;54;50;47;56;105;53;95;127;86;68;126;135;229;96;44;41;64;14;14;14
